01/01/1965	421.89
01/01/1966	409.06
01/01/1967	389.08
01/01/1968	390.88
01/01/1969	436.33
01/01/1970	459.05
01/01/1971	452.57
01/01/1972	472.28
01/01/1973	388.6
01/01/1974	390.78
01/01/1975	372.5
01/01/1976	291.25
01/01/1977	371.36
01/01/1978	355.46
01/01/1979	389.58
01/01/1980	333.94
01/01/1981	291.95
01/01/1982	232.65
01/01/1983	260.55
01/01/1984	268.55
01/01/1985	282.44
01/01/1986	306.79
01/01/1987	288.39
01/01/1988	295.43
01/01/1989	312.37
01/01/1990	364.54
01/01/1991	356.15
01/01/1992	314.18
01/01/1993	305.17
01/01/1994	299.41
01/01/1995	280.3
01/01/1996	282.85
01/01/1997	305.78
01/01/1998	323.36
01/01/1999	319.37
01/01/2000	309.07
01/01/2001	333.58
01/01/2002	323.77
01/01/2003	324.9
01/01/2004	312.15
01/01/2005	332.96
01/01/2006	328.8
01/01/2007	319.14
01/01/2008	308.7
01/01/2009	313.06
01/01/2010	330.54
01/01/2011	354.86
01/01/2012	337.82
01/01/2013	337.15
01/01/2014	350.63
01/01/2015	350.63
01/01/2016	334.32
01/01/2017	383.25
01/01/2018	474.58
01/01/2019	456.03
01/01/2020	432.47
01/01/2021	471.13
01/01/2022	438.29
01/01/2023	407.71
01/01/2024	394.12
01/01/2025	395.63
01/01/2026	385.27
01/01/2027	340.52
01/01/2028	427.38
01/01/2029	466.46
01/01/2030	398.52
01/01/2031	363.63
01/01/2032	282.1
01/01/2033	268.22
01/01/2034	283.38
01/01/2035	260.24
01/01/2036	312.27
01/01/2037	461.28
01/01/2038	362.81
01/01/2039	301.83
01/01/2040	320.87
01/01/2041	306.12
01/01/2042	276.96
01/01/2043	267.01
01/01/2044	309.87
01/01/2045	345.83
01/01/2046	294.36
01/01/2047	297.57
01/01/2048	264.89
01/01/2049	238.42
01/01/2050	191.77
01/01/2051	190.04
01/01/2052	195.22
01/01/2053	290.24
01/01/2054	238.42
01/01/2055	272.97
01/01/2056	226.32
01/01/2057	198.68
01/01/2058	188.31
01/01/2059	170.44
01/01/2060	201.51
01/01/2061	205.24
01/01/2062	210.84
01/01/2063	222.04
01/01/2064	330.26
01/01/2065	309.73
01/01/2066	315.33
01/01/2067	215.29
01/01/2068	236.69
01/01/2069	226.32
01/01/2070	272.97
01/01/2071	338.62
01/01/2072	354.85
01/01/2073	235.3
01/01/2074	231.76
01/01/2075	220.07
01/01/2076	213.25
01/01/2077	270.14
01/01/2078	252.51
01/01/2079	212.65
01/01/2080	271.84
01/01/2081	401.72
01/01/2082	365.72
01/01/2083	261.61
01/01/2084	176.13
01/01/2085	143.3
01/01/2086	112.29
01/01/2087	127.51
01/01/2088	135.54
01/01/2089	122.22
01/01/2090	128.29
01/01/2091	124.38
01/01/2092	119.42
01/01/2093	135.72
01/01/2094	168.73
01/01/2095	124.2
01/01/2096	86.66
01/01/2097	66.71
01/01/2098	88.51
01/01/2099	102.07
01/01/2100	101.87
01/01/2101	109.96
01/01/2102	143.32
01/01/2103	113.71
01/01/2104	126.66
01/01/2105	128.81
01/01/2106	128.01
01/01/2107	115.68
01/01/2108	108.98
01/01/2109	107.12
01/01/2110	104.74
01/01/2111	113.39
01/01/2112	149.78
01/01/2113	145.5
01/01/2114	128.48
01/01/2115	140.94
01/01/2116	148.15
01/01/2117	144.98
01/01/2118	170.32
01/01/2119	175.32
01/01/2120	218.8
01/01/2121	241.58
01/01/2122	169.09
01/01/2123	142.87
01/01/2124	167.59
01/01/2125	172.37
01/01/2126	159.09
01/01/2127	160.97
01/01/2128	159.04
01/01/2129	163.57
01/01/2130	176.23
01/01/2131	174.24
01/01/2132	179.24
01/01/2133	187.81
01/01/2134	203.94
01/01/2135	235.42
01/01/2136	201.51
01/01/2137	192.24
01/01/2138	210.32
01/01/2139	246.09
01/01/2140	187.29
01/01/2141	191.98
01/01/2142	173.01
01/01/2143	160.08
01/01/2144	201.7
01/01/2145	192.95
01/01/2146	145.38
01/01/2147	118.4
01/01/2148	120.55
01/01/2149	100.91
01/01/2150	97.73
01/01/2151	94.66
01/01/2152	113.98
01/01/2153	159.97
01/01/2154	165.84
01/01/2155	147.89
01/01/2156	125.99
01/01/2157	120.14
01/01/2158	99.9
01/01/2159	114.3
01/01/2160	99.86
01/01/2161	112
01/01/2162	117.6
